link_stats_id, link_id, timestamp, PacketsReceived, PacketsSent, BytesReceived, BytesSent, PacketsRxDropped, PacketsTxDropped, PacketsRxErrors, PacketsTxErrors
of:000000000000000d_2_2024-08-05 14:11:42,of:000000000000000d_2,2024-08-05 14:11:42,1447385.0,2301657.0,181567110.0,258157830.0,0.0,0.0,0.0,0.0
of:000000000000000d_3_2024-08-05 14:11:42,of:000000000000000d_3,2024-08-05 14:11:42,1427130.0,2301419.0,151845004.0,258142155.0,0.0,0.0,0.0,0.0
of:000000000000000a_1_2024-08-05 14:11:42,of:000000000000000a_1,2024-08-05 14:11:42,9385627.0,9371696.0,945956163.0,929183312.0,0.0,0.0,0.0,0.0
of:000000000000000a_2_2024-08-05 14:11:42,of:000000000000000a_2,2024-08-05 14:11:42,1415523.0,2301658.0,134286934.0,258139392.0,0.0,0.0,0.0,0.0
of:000000000000000a_3_2024-08-05 14:11:42,of:000000000000000a_3,2024-08-05 14:11:42,7072683.0,7970564.0,671180082.0,812583229.0,0.0,0.0,0.0,0.0
of:000000000000000b_1_2024-08-05 14:11:42,of:000000000000000b_1,2024-08-05 14:11:42,3716268.0,3714134.0,391490388.0,392273000.0,0.0,0.0,0.0,0.0
of:000000000000000b_2_2024-08-05 14:11:42,of:000000000000000b_2,2024-08-05 14:11:42,1415072.0,2301156.0,134267712.0,258115396.0,0.0,0.0,0.0,0.0
of:000000000000000b_3_2024-08-05 14:11:42,of:000000000000000b_3,2024-08-05 14:11:42,1415580.0,2301710.0,134289384.0,258141492.0,0.0,0.0,0.0,0.0
of:000000000000000e_1_2024-08-05 14:11:42,of:000000000000000e_1,2024-08-05 14:11:42,7974035.0,7958199.0,814437425.0,794951703.0,0.0,0.0,0.0,0.0
of:000000000000000e_2_2024-08-05 14:11:42,of:000000000000000e_2,2024-08-05 14:11:42,7074305.0,7974034.0,671207003.0,815320545.0,0.0,0.0,0.0,0.0
of:000000000000000f_1_2024-08-05 14:11:42,of:000000000000000f_1,2024-08-05 14:11:42,9406325.0,9386303.0,975659089.0,949456799.0,0.0,0.0,0.0,0.0
